"Date","Status","Type","CheckNumber","Description","Withdrawal","Deposit","RunningBalance"
"12/26/2025","Posted","ATM","","CHASE ...104 N CUSTER RD MCKINNEY","$84.00","","$12,980.60"
"12/26/2025","Posted","ACH","","VENMO PAYMENT 251224","$2.00","","$13,064.60"
"12/25/2025","Posted","DEBIT","","ZELLE TO KORY  SNEED,Effective  12/24/20","$10.00","","$13,066.60"
"12/24/2025","Posted","DEBIT","","ZELLE TO ZUZANA  SNEED","$25.00","","$13,076.60"
"12/24/2025","Posted","VISA","","PAR*SMOOTHIE KING SK126 913-617-3225","$9.18","","$13,101.60"
"12/24/2025","Posted","ACH","","T-MOBILE PCS SVC 251223~ Tran: ACHDW","$100.00","","$13,110.78"
"12/24/2025","Posted","ACH","","SSA  TREAS ...310 XXSOC SEC 122425~ Tran: A","","$2,966.00","$13,210.78"
"12/24/2025","Posted","ACH","","SSA  TREAS ...310 XXSOC SEC 122425 N1*GD*AN","","$1,297.00","$10,244.78"
"12/24/2025","Posted","ACH","","SSA  TREAS ...310 XXSOC SEC 122425 N1*GD*AN","","$1,297.00","$8,947.78"
"12/22/2025","Posted","VISA","","Stash-Subscription New York","$3.00","","$7,650.78"
"12/22/2025","Posted","VISA","","A  *FocusontheFamily 719-5313400","$13.45","","$7,653.78"
"12/22/2025","Posted","CHECK","109","Check Paid #109","$24.00","","$7,667.23"
"12/22/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...997","","$787.00","$7,691.23"
"12/22/2025","Posted","TRANSFER","","Funds Transfer to Brokerage ...997","$100.00","","$6,904.23"
"12/22/2025","Posted","ACH","","CORNERSTONE ACAD FACTS","$793.40","","$7,004.23"
"12/22/2025","Posted","ACH","","ATMOS ENERGY RCR UTIL PYMT","$194.63","","$7,797.63"
"12/22/2025","Posted","ACH","","VENMO PAYMENT 251219","$68.00","","$7,992.26"
"12/22/2025","Posted","ACH","","VENMO PAYMENT 251219","$50.00","","$8,060.26"
"12/21/2025","Posted","VISA","","APPLE.COM/BILL 866-712-7753","$2.15","","$8,110.26"
"12/21/2025","Posted","VISA","","ANDREW WOMMACK MINISTR 719-635-1111","$50.40","","$8,112.41"
"12/19/2025","Posted","ACH","","CORNERSTONE ACAD FACTS","$15.85","","$8,162.81"
"12/18/2025","Posted","ACH","","VENMO PAYMENT 251217","$2.00","","$8,178.66"
"12/18/2025","Posted","TRANSFER","","Funds Transfer to Brokerage ...997","$300.00","","$8,180.66"
"12/18/2025","Posted","ACH","","SCHWAB ADV ACH DEPOSIT 121825","","$812.00","$8,480.66"
"12/17/2025","Posted","VISA","","KSBJ-WAYFM-VIDA-NGEN HOPEMEDIAGROU","$20.00","","$7,668.66"
"12/17/2025","Posted","ACH","","CIC PREMIUM 251215~ Tran: ACHDW","$115.01","","$7,688.66"
"12/17/2025","Posted","ACH","","ANDREW WOMMACK M PAYROLL ~ Tran: ACHDD","","$896.96","$7,803.67"
"12/17/2025","Posted","ACH","","ANDREW WOMMACK M PAYROLL ~ Tran: ACHDD","","$25.00","$6,906.71"
"12/16/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...997","","$450.00","$6,881.71"
"12/16/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...904","","$150.00","$6,431.71"
"12/16/2025","Posted","DEBIT","","ZELLE TO ANGELA  FOLEY","$25.00","","$6,281.71"
"12/15/2025","Posted","ACH","","VENMO PAYMENT 251213","$30.00","","$6,306.71"
"12/15/2025","Posted","VISA","","ANDREW WOMMACK MINISTR AWMI.NET","$8.12","","$6,336.71"
